Topico,Keywords,Subtopicos,Paginas_blog,Search_Volume_total,Trafego_total,Keywords_Top1,Trafego_Top1,Keywords_Top5,Trafego_Top5,Keywords_Top10,Trafego_Top10,Pct_keywords,Pct_paginas_blog
Marca Mamba,67,6,5,37210,1035,12,955,18,980,24,1035,4.2,5.1
Shopee,694,15,21,273050,656,79,204,169,457,341,562,43.8,21.4
Mercado Livre,637,29,50,253710,519,38,173,101,419,211,508,40.2,51.0
Comparativo de Marketplaces,53,1,5,9380,65,10,42,17,58,25,65,3.3,5.1
Operacao Marketplace,69,5,5,74560,26,0,0,0,0,1,0,4.4,5.1
Marketing Digital,44,6,7,8640,6,1,0,1,0,3,6,2.8,7.1
Promocoes e Datas Comerciais,3,2,2,3120,2,0,0,0,0,0,0,0.2,2.0
Conteudo Geral,3,1,1,1600,0,0,0,0,0,0,0,0.2,1.0
Gestao e Financas,14,2,2,2080,0,0,0,0,0,0,0,0.9,2.0
